Org Name	Station ID	State	County	HUC	Generated HUC	Station Latitude	Station Longitude	Station Horizontal Datum	Activity ID	Index ID	Index Type ID	Index Type Name	Index Score	Index Calculated Date
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		DIA:LDC_ADJ:0191:Y:T:512427	NARS_WQX~LDC_ADJ	Lake Diatom Condition Index	-3.033962	23-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:RVEGQ_7	NARS_WQX~RVegQ_7	Riparian Cover Index 7	0.26770975	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:L_RVEGQ_8	NARS_WQX~L_RVegQ_8	Log10-transfromed value of Riparian Cover Index 8	-0.4394955	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:LRCVQ_7C	NARS_WQX~LRCVQ_7C	Littoral-Riparian Cover Index 7C	0.21052154	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:LRCVQ_8D	NARS_WQX~LRCVQ_8D	Littoral-Riparian Cover Index 8D	0.22786111	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:ELEVXLAT	NARS_WQX~ElevXLat	Site elevation x field latitude (=Elev_PT*Fld_Lat+	32231.7856	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:RDISIXAGADJ5	NARS_WQX~RDisIXAgAdj5	RDisIXAgAdj5 Riparian Disturbance Intensity-Exten+	0.32741935	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:RDISIXAGADJ2	NARS_WQX~RDisIXAgAdj2	RDisIXAgAdj2 Riparian Disturbance Intensity-Exten+	0.32741935	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:RVEGQ_VAR	NARS_WQX~RvegQ_Var	Name of variable used to create RVegQ for a given+	RVegQ_2	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:LITCVRQ_VAR	NARS_WQX~LitCvrQ_Var	Name of variable used to create LitCvrQ for a giv+	LITCVR_C	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:LITRIPCVQ_VAR	NARS_WQX~LitRipCVQ_Var	Name of variable used to create LitRipCVQ for a g+	LRCVQ_2C	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:LITCVR_OE	NARS_WQX~LitCvr_OE	Observed/Expected Littoral Cover Complexity Index	0.80228826	21-Jul-07
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		CHEM:NTL_COND:0191:1	NARS_WQX~NTL_COND	NUTRIENT CONDITION CLASS (TOTAL N)	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		CHEM:PTL_COND:0191:1	NARS_WQX~PTL_COND	NUTRIENT CONDITION CLASS (TOTAL P)	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		CHEM:TURB_COND:0191:1	NARS_WQX~TURB_COND	CONDITION CLASS (TURBIDITY)	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		INFCHM:NTL_INF_COND:0191:1	NARS_WQX~NTL_INF_COND	T-B difference class for NTL	00	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		INFCHM:NTL_INF_COND3:0191:1	NARS_WQX~NTL_INF_COND3	T-B difference class for NTL (3-level)	00	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		INFCHM:PTL_INF_COND3:0191:1	NARS_WQX~PTL_INF_COND3	T-B difference class for PTL (3 level)	00	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		LDC:LDC_COND:0191:1	NARS_WQX~LDC_COND	CONDITION CLASS (LAKE DIATOM CONDITION INDEX)	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		OE5:OE5_COND:0191:1	NARS_WQX~OE5_COND	CONDITION CLASS (PLANKTON O/E INDICATOR)BASED ON +	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		OE5:OE5_COND_R:0191:1	NARS_WQX~OE5_COND_R	CONDITION CLASS (PLANKTON O/E INDICATOR) BASED ON+	2	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PHAB:LITRIPCVR_COND:0191:1	NARS_WQX~LITRIPCVR_COND	LITTORAL-RIPARIAN VEGETATION COVER CONDITION CLAS+	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PHAB:RVEG_COND:0191:1	NARS_WQX~RVEG_COND	RIPARIAN VEGETATION CONDITION CLASS (RVegQ_OE)	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		REC:CYANO_COND:0191:1	NARS_WQX~CYANO_COND	RECREATIONAL CONDITION CLASS (CYANOBACTERIA DENSI+	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		REC:MCYST_COND_HI:0191:1	NARS_WQX~MCYST_COND_HI	RECREATIONAL CONDITION CLASS (MICROCYSTIN)  High +	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		TROPH:TSTATE_CHL:0191:1	NARS_WQX~TSTATE_CHL	TROPHIC STATE BASED ON CHL A (2, 7, 30 ug/L)	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		TROPH:TSTATE_SECCHI:0191:1	NARS_WQX~TSTATE_SECCHI	TROPHIC STATE BASED ON SECCHI TRANSPARENCY (4, 2.+	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		TROPH:TSTATE_TN:0191:1	NARS_WQX~TSTATE_TN	TROPHIC STATE BASED ON TOTAL N (0.35, 0.75, 1.4 m+	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		TROPH:TSTATE_TP:0191:1	NARS_WQX~TSTATE_TP	TROPHIC STATE BASED ON TOTAL P (10, 25, 50 ug/L)	1	30-Nov-09
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       		PSM:0191:1:ECOP6	NARS_WQX~EcoP6	Aggregate ecoregions (6) used to set expectations+	SAP	21-Jul-07
