Org Name	Station ID	State	County	HUC	Generated HUC	Station Latitude	Station Longitude	Station Horizontal Datum	Activity ID	Activity Start	Activity Start Zone	Activity Medium	Activity Type	Activity Category-Rep Num	Subject Taxon	Biopart	Activity Depth	Activity Depth Unit	Characteristic Name	Characteristic Description	Sample Fraction	Value Type	Statistic Type	Result Value Status	Result Value as Text	Units	Analytical Proc ID	Metric Type ID	Metric Value	Metric Unit	Metric Score
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	SIZE_CLASS			03:>50-100
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	AREA_HA	64.6721456	ha	64.6721456
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	LAKEAREA	0.64672145	km2	0.64672145
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	LAKEPERIM	8.95747983	km	8.95747983
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	REF_CLUSTER			NULL
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	SLD			3.14211642
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	NUT_REG			XI
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	RT_NLA			NULL
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	ECO_LEV_3			66
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	URBAN			NO
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	PERM_WATER			Yes
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	NON_SALINE			Yes
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	SRFC_AREA			Yes
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	METER_DEEP			Yes
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	OPEN_WATER			Yes
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	AQUACULTUR			No
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	DISPOSAL			No
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	SEWAGE			No
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	EVAPORATE			No
EPA National Aquatic Resources Survey (NARS)	NLA06608-1599	NORTH CAROLINA	JACKSON	06010203	06010203	35.2242206	-82.9929117	WGS84       	LAKEINFO:1599:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	PHYS_ACCES			Yes
EPA National Aquatic Resources Survey (NARS)	NLA06608-3647	NORTH CAROLINA	JACKSON	03060102	03060102	35.1071844	-83.1004612	WGS84       	LAKEINFO:3647:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	LAKEPERIM	1.44908396	km	1.44908396
EPA National Aquatic Resources Survey (NARS)	NLA06608-3647	NORTH CAROLINA	JACKSON	03060102	03060102	35.1071844	-83.1004612	WGS84       	LAKEINFO:3647:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	SIZE_CLASS			02:>10-50
EPA National Aquatic Resources Survey (NARS)	NLA06608-3647	NORTH CAROLINA	JACKSON	03060102	03060102	35.1071844	-83.1004612	WGS84       	LAKEINFO:3647:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	AREA_HA	11.4084148	ha	11.4084148
EPA National Aquatic Resources Survey (NARS)	NLA06608-3647	NORTH CAROLINA	JACKSON	03060102	03060102	35.1071844	-83.1004612	WGS84       	LAKEINFO:3647:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	LAKEAREA	0.11408414	km2	0.11408414
EPA National Aquatic Resources Survey (NARS)	NLA06608-3647	NORTH CAROLINA	JACKSON	03060102	03060102	35.1071844	-83.1004612	WGS84       	LAKEINFO:3647:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	REF_CLUSTER			NULL
EPA National Aquatic Resources Survey (NARS)	NLA06608-3647	NORTH CAROLINA	JACKSON	03060102	03060102	35.1071844	-83.1004612	WGS84       	LAKEINFO:3647:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	NUT_REG			XI
EPA National Aquatic Resources Survey (NARS)	NLA06608-3647	NORTH CAROLINA	JACKSON	03060102	03060102	35.1071844	-83.1004612	WGS84       	LAKEINFO:3647:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	RT_NLA			NULL
EPA National Aquatic Resources Survey (NARS)	NLA06608-3647	NORTH CAROLINA	JACKSON	03060102	03060102	35.1071844	-83.1004612	WGS84       	LAKEINFO:3647:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	ECO_LEV_3			66
EPA National Aquatic Resources Survey (NARS)	NLA06608-3647	NORTH CAROLINA	JACKSON	03060102	03060102	35.1071844	-83.1004612	WGS84       	LAKEINFO:3647:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	SLD			1.21025243
EPA National Aquatic Resources Survey (NARS)	NLA06608-3647	NORTH CAROLINA	JACKSON	03060102	03060102	35.1071844	-83.1004612	WGS84       	LAKEINFO:3647:0	2009-12-07 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment													~	URBAN			NO
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       	BUFFER:0191	2009-10-22 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment					Count			Actual		Final	0	count	~				
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       	BASIN:0191	2009-10-22 00:00:00		Other	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment					Count			Actual		Final	0	count	~				
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       	POE5:0191:1:P	2009-10-21 00:00:00		Biological	Sample-Routine	Sample-Routine	Conochilidae 				Conochilidae	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=59411		Actual		Final	1.75208562019472e-005	count	~				
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       	POE5:0191:1:P	2009-10-21 00:00:00		Biological	Sample-Routine	Sample-Routine	Gymnodinium 				Gymnodinium	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10031		Actual		Final	10.3931623931624	count	~				
EPA National Aquatic Resources Survey (NARS)	NLA06608-0191	NORTH CAROLINA	MACON	06010202	06010202	35.1678348	-83.6670913	WGS84       	POE5:0191:1:P	2009-10-21 00:00:00		Biological	Sample-Routine	Sample-Routine	Oocystis 				Oocystis	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=5827		Actual		Final	12.991452991453	count	~				
