Site,Date/Time,Temp (C),QC_flag
LiTN1,4/3/13 15:32,11,
LiTN1,4/3/13 16:32,11,
LiTN1,4/3/13 17:32,10.5,
LiTN1,4/3/13 18:32,10.5,
LiTN1,4/3/13 19:32,10.5,
LiTN1,4/3/13 20:32,10,
LiTN1,4/3/13 21:32,10,
LiTN1,4/3/13 22:32,10,
LiTN1,4/3/13 23:32,10,
LiTN1,4/4/13 0:32,10,
LiTN1,4/4/13 1:32,10.5,
LiTN1,4/4/13 2:32,10.5,
LiTN1,4/4/13 3:32,10.5,
LiTN1,4/4/13 4:32,10.5,
LiTN1,4/4/13 5:32,10.5,
LiTN1,4/4/13 6:32,10.5,
LiTN1,4/4/13 7:32,10.5,
LiTN1,4/4/13 8:32,10.5,
LiTN1,4/4/13 9:32,10.5,
LiTN1,4/4/13 10:32,10,
LiTN1,4/4/13 11:32,10,
LiTN1,4/4/13 12:32,10,
LiTN1,4/4/13 13:32,10,
LiTN1,4/4/13 14:32,9.5,
LiTN1,4/4/13 15:32,9.5,
LiTN1,4/4/13 16:32,9.5,
LiTN1,4/4/13 17:32,9.5,
LiTN1,4/4/13 18:32,9,
LiTN1,4/4/13 19:32,9,
LiTN1,4/4/13 20:32,9,
LiTN1,4/4/13 21:32,9,
LiTN1,4/4/13 22:32,8.5,
LiTN1,4/4/13 23:32,8.5,
LiTN1,4/5/13 0:32,8.5,
LiTN1,4/5/13 1:32,8.5,
LiTN1,4/5/13 2:32,8.5,
LiTN1,4/5/13 3:32,8,
LiTN1,4/5/13 4:32,8,
LiTN1,4/5/13 5:32,8,
LiTN1,4/5/13 6:32,8,
LiTN1,4/5/13 7:32,8,
LiTN1,4/5/13 8:32,8,
LiTN1,4/5/13 9:32,8,
LiTN1,4/5/13 10:32,8,
LiTN1,4/5/13 11:32,8,
LiTN1,4/5/13 12:32,8.5,
LiTN1,4/5/13 13:32,8.5,
LiTN1,4/5/13 14:32,9,
LiTN1,4/5/13 15:32,9,
LiTN1,4/5/13 16:32,9.5,
LiTN1,4/5/13 17:32,9.5,
LiTN1,4/5/13 18:32,9.5,
LiTN1,4/5/13 19:32,9.5,
LiTN1,4/5/13 20:32,9.5,
LiTN1,4/5/13 21:32,9.5,
LiTN1,4/5/13 22:32,9.5,
LiTN1,4/5/13 23:32,9.5,
LiTN1,4/6/13 0:32,9.5,
LiTN1,4/6/13 1:32,10,
LiTN1,4/6/13 2:32,10,
LiTN1,4/6/13 3:32,10,
LiTN1,4/6/13 4:32,10,
LiTN1,4/6/13 5:32,10.5,
LiTN1,4/6/13 6:32,10.5,
LiTN1,4/6/13 7:32,10,
LiTN1,4/6/13 8:32,10,
LiTN1,4/6/13 9:32,10.5,
LiTN1,4/6/13 10:32,10.5,
LiTN1,4/6/13 11:32,11,
LiTN1,4/6/13 12:32,11,
LiTN1,4/6/13 13:32,11.5,
LiTN1,4/6/13 14:32,11.5,
LiTN1,4/6/13 15:32,11.5,
LiTN1,4/6/13 16:32,11.5,
LiTN1,4/6/13 17:32,11,
LiTN1,4/6/13 18:32,11,
LiTN1,4/6/13 19:32,10.5,
LiTN1,4/6/13 20:32,10.5,
LiTN1,4/6/13 21:32,10.5,
LiTN1,4/6/13 22:32,10.5,
LiTN1,4/6/13 23:32,10.5,
LiTN1,4/7/13 0:32,10.5,
LiTN1,4/7/13 1:32,10.5,
LiTN1,4/7/13 2:32,11,
LiTN1,4/7/13 3:32,11,
LiTN1,4/7/13 4:32,11,
LiTN1,4/7/13 5:32,11,
LiTN1,4/7/13 6:32,11,
LiTN1,4/7/13 7:32,11,
LiTN1,4/7/13 8:32,11,
LiTN1,4/7/13 9:32,11,
LiTN1,4/7/13 10:32,11.5,
LiTN1,4/7/13 11:32,11.5,
LiTN1,4/7/13 12:32,11.5,
LiTN1,4/7/13 13:32,12,
LiTN1,4/7/13 14:32,12,
LiTN1,4/7/13 15:32,12,
LiTN1,4/7/13 16:32,12,
LiTN1,4/7/13 17:32,12,
LiTN1,4/7/13 18:32,12,
LiTN1,4/7/13 19:32,11.5,
LiTN1,4/7/13 20:32,11.5,
LiTN1,4/7/13 21:32,11.5,
LiTN1,4/7/13 22:32,11.5,
LiTN1,4/7/13 23:32,11.5,
LiTN1,4/8/13 0:32,11.5,
LiTN1,4/8/13 1:32,11.5,
LiTN1,4/8/13 2:32,12,
LiTN1,4/8/13 3:32,12,
LiTN1,4/8/13 4:32,12,
LiTN1,4/8/13 5:32,12,
LiTN1,4/8/13 6:32,12,
LiTN1,4/8/13 7:32,12,
LiTN1,4/8/13 8:32,12,
LiTN1,4/8/13 9:32,12.5,
LiTN1,4/8/13 10:32,12.5,
LiTN1,4/8/13 11:32,12.5,
LiTN1,4/8/13 12:32,13,
LiTN1,4/8/13 13:32,13,
LiTN1,4/8/13 14:32,13,
LiTN1,4/8/13 15:32,13,
LiTN1,4/8/13 16:32,13,
LiTN1,4/8/13 17:32,13,
LiTN1,4/8/13 18:32,12.5,
LiTN1,4/8/13 19:32,12.5,
LiTN1,4/8/13 20:32,12.5,
LiTN1,4/8/13 21:32,12.5,
LiTN1,4/8/13 22:32,12.5,
LiTN1,4/8/13 23:32,12.5,
LiTN1,4/9/13 0:32,13,
LiTN1,4/9/13 1:32,13,
LiTN1,4/9/13 2:32,13,
LiTN1,4/9/13 3:32,13.5,
LiTN1,4/9/13 4:32,13.5,
LiTN1,4/9/13 5:32,13.5,
LiTN1,4/9/13 6:32,13.5,
LiTN1,4/9/13 7:32,13.5,
LiTN1,4/9/13 8:32,13.5,
LiTN1,4/9/13 9:32,13.5,
LiTN1,4/9/13 10:32,13.5,
LiTN1,4/9/13 11:32,14,
LiTN1,4/9/13 12:32,14,
LiTN1,4/9/13 13:32,14.5,
LiTN1,4/9/13 14:32,14.5,
LiTN1,4/9/13 15:32,15,
LiTN1,4/9/13 16:32,15,
LiTN1,4/9/13 17:32,15,
LiTN1,4/9/13 18:32,14.5,
LiTN1,4/9/13 19:32,14.5,
LiTN1,4/9/13 20:32,14,
LiTN1,4/9/13 21:32,14,
LiTN1,4/9/13 22:32,14,
LiTN1,4/9/13 23:32,14,
LiTN1,4/10/13 0:32,14,
LiTN1,4/10/13 1:32,14,
LiTN1,4/10/13 2:32,14.5,
LiTN1,4/10/13 3:32,14.5,
LiTN1,4/10/13 4:32,15,
LiTN1,4/10/13 5:32,15,
LiTN1,4/10/13 6:32,15,
LiTN1,4/10/13 7:32,15,
LiTN1,4/10/13 8:32,15,
LiTN1,4/10/13 9:32,15,
LiTN1,4/10/13 10:32,15.5,
LiTN1,4/10/13 11:32,15.5,
LiTN1,4/10/13 12:32,16,
LiTN1,4/10/13 13:32,16,
LiTN1,4/10/13 14:32,16.5,
LiTN1,4/10/13 15:32,16.5,
LiTN1,4/10/13 16:32,16.5,
LiTN1,4/10/13 17:32,16.5,
LiTN1,4/10/13 18:32,16,
LiTN1,4/10/13 19:32,15.5,
LiTN1,4/10/13 20:32,15.5,
LiTN1,4/10/13 21:32,15.5,
LiTN1,4/10/13 22:32,15,
LiTN1,4/10/13 23:32,15,
LiTN1,4/11/13 0:32,15,
LiTN1,4/11/13 1:32,15.5,
LiTN1,4/11/13 2:32,15.5,
LiTN1,4/11/13 3:32,15.5,
LiTN1,4/11/13 4:32,16,
LiTN1,4/11/13 5:32,16,
LiTN1,4/11/13 6:32,16,
LiTN1,4/11/13 7:32,16,
LiTN1,4/11/13 8:32,16,
LiTN1,4/11/13 9:32,16,
LiTN1,4/11/13 10:32,16.5,
LiTN1,4/11/13 11:32,16.5,
LiTN1,4/11/13 12:32,16.5,
LiTN1,4/11/13 13:32,17,
LiTN1,4/11/13 14:32,17,
LiTN1,4/11/13 15:32,17,
LiTN1,4/11/13 16:32,16.5,
LiTN1,4/11/13 17:32,16.5,
LiTN1,4/11/13 18:32,16.5,
LiTN1,4/11/13 19:32,16,
LiTN1,4/11/13 20:32,16,
LiTN1,4/11/13 21:32,16,
LiTN1,4/11/13 22:32,16,
LiTN1,4/11/13 23:32,16,
LiTN1,4/12/13 0:32,16,
LiTN1,4/12/13 1:32,16,
LiTN1,4/12/13 2:32,16,
LiTN1,4/12/13 3:32,16,
LiTN1,4/12/13 4:32,16,
LiTN1,4/12/13 5:32,15.5,
LiTN1,4/12/13 6:32,15,
LiTN1,4/12/13 7:32,15,
LiTN1,4/12/13 8:32,14.5,
LiTN1,4/12/13 9:32,14.5,
LiTN1,4/12/13 10:32,14.5,
LiTN1,4/12/13 11:32,14.5,
LiTN1,4/12/13 12:32,14.5,
LiTN1,4/12/13 13:32,14.5,
LiTN1,4/12/13 14:32,15,
LiTN1,4/12/13 15:32,15,
LiTN1,4/12/13 16:32,15.5,
LiTN1,4/12/13 17:32,15.5,
LiTN1,4/12/13 18:32,15.5,
LiTN1,4/12/13 19:32,15.5,
LiTN1,4/12/13 20:32,15.5,
