date time	sample name	count type	cell count	dilution factor	concentration	result type	result	mean diameter	assay type	cell type
11/06/2014 11:40:35	new sample	BR	162	1.0	       1.80e+006	  	  	  6.0	Feeding Trial 1 SS_low conc	Algae RC
11/06/2014 11:40:35	new sample	FL	134	1.0	       1.49e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
11/06/2014 11:40:35	new sample	BR-FL	28	1.0	       3.07e+005	BR-FL/BR	 17.1%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 09:52:44	new sample	BR	128	1.0	       1.41e+006	  	  	  5.1	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 09:52:44	new sample	FL	139	1.0	       1.55e+006	  	  	  6.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 09:52:44	new sample	BR-FL	-11	1.0	      -1.43e+005	BR-FL/BR	-10.1%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 09:55:16	new sample	BR	174	1.0	       1.93e+006	  	  	  5.8	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 09:55:16	new sample	FL	160	1.0	       1.79e+006	  	  	  6.8	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 09:55:16	new sample	BR-FL	14	1.0	       1.42e+005	BR-FL/BR	  7.4%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 09:57:12	new sample	BR	128	1.0	       1.42e+006	  	  	  5.8	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 09:57:12	new sample	FL	152	1.0	       1.69e+006	  	  	  6.5	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 09:57:12	new sample	BR-FL	-24	1.0	      -2.76e+005	BR-FL/BR	-19.5%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 09:58:46	new sample	BR	121	1.0	       1.35e+006	  	  	  6.4	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 09:58:46	new sample	FL	150	1.0	       1.68e+006	  	  	  6.8	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 09:58:46	new sample	BR-FL	-29	1.0	      -3.29e+005	BR-FL/BR	-24.4%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 10:00:27	new sample	BR	156	1.0	       1.73e+006	  	  	  5.8	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:00:27	new sample	FL	130	1.0	       1.45e+006	  	  	  7.1	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:00:27	new sample	BR-FL	26	1.0	       2.72e+005	BR-FL/BR	 15.8%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 10:01:58	new sample	BR	166	1.0	       1.84e+006	  	  	  5.6	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:01:58	new sample	FL	146	1.0	       1.63e+006	  	  	  6.5	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:01:58	new sample	BR-FL	20	1.0	       2.10e+005	BR-FL/BR	 11.4%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 10:03:51	new sample	BR	154	1.0	       1.71e+006	  	  	  5.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:03:51	new sample	FL	158	1.0	       1.76e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:03:51	new sample	BR-FL	-4	1.0	      -4.85e+004	BR-FL/BR	 -2.8%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 10:05:24	new sample	BR	163	1.0	       1.80e+006	  	  	  5.7	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:05:24	new sample	FL	142	1.0	       1.58e+006	  	  	  6.4	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:05:24	new sample	BR-FL	21	1.0	       2.23e+005	BR-FL/BR	 12.4%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 10:07:17	new sample	BR	188	1.0	       2.09e+006	  	  	  6.4	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:07:17	new sample	FL	149	1.0	       1.67e+006	  	  	  7.0	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:07:17	new sample	BR-FL	39	1.0	       4.25e+005	BR-FL/BR	 20.3%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 10:08:53	new sample	BR	151	1.0	       1.68e+006	  	  	  6.7	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:08:53	new sample	FL	131	1.0	       1.47e+006	  	  	  7.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:08:53	new sample	BR-FL	20	1.0	       2.17e+005	BR-FL/BR	 12.9%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 10:10:46	new sample	BR	158	1.0	       1.77e+006	  	  	  7.2	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:10:46	new sample	FL	127	1.0	       1.44e+006	  	  	  8.3	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:10:46	new sample	BR-FL	31	1.0	       3.35e+005	BR-FL/BR	 18.9%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 10:12:50	new sample	BR	178	1.0	       1.99e+006	  	  	  6.9	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:12:50	new sample	FL	126	1.0	       1.41e+006	  	  	  7.0	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:12:50	new sample	BR-FL	52	1.0	       5.80e+005	BR-FL/BR	 29.2%	 	Feeding Trial 1 SS_low conc	Algae RC

11/07/2014 10:17:11	new sample	BR	160	1.0	       1.79e+006	  	  	  6.7	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:17:11	new sample	FL	134	1.0	       1.50e+006	  	  	  7.5	Feeding Trial 1 SS_low conc	Algae RC
11/07/2014 10:17:11	new sample	BR-FL	26	1.0	       2.81e+005	BR-FL/BR	 15.7%	 	Feeding Trial 1 SS_low conc	Algae RC

