date time	sample name	count type	cell count	dilution factor	concentration	result type	result	mean diameter	assay type	cell type
06/05/2014 08:21:14	new sample	BR	1834	1.0	       2.04e+007	  	  	  6.4	Feeding Trial 1 RC	Algae RC
06/05/2014 08:21:14	new sample	FL	1046	1.0	       1.16e+007	  	  	  6.3	Feeding Trial 1 RC	Algae RC
06/05/2014 08:21:14	new sample	BR-FL	788	1.0	       8.78e+006	BR-FL/BR	 43.0%	 	Feeding Trial 1 RC	Algae RC

06/05/2014 08:21:19	new sample	BR	1834	1.0	       2.04e+007	  	  	  6.4	Feeding Trial 1 RC	Algae RC
06/05/2014 08:21:19	new sample	FL	1046	1.0	       1.16e+007	  	  	  6.3	Feeding Trial 1 RC	Algae RC
06/05/2014 08:21:19	new sample	BR-FL	788	1.0	       8.78e+006	BR-FL/BR	 43.0%	 	Feeding Trial 1 RC	Algae RC

06/05/2014 08:25:50	new sample	BR	1684	1.0	       1.87e+007	  	  	  5.8	Feeding Trial 1 RC	Algae RC
06/05/2014 08:25:50	new sample	FL	1063	1.0	       1.18e+007	  	  	  5.7	Feeding Trial 1 RC	Algae RC
06/05/2014 08:25:50	new sample	BR-FL	621	1.0	       6.88e+006	BR-FL/BR	 36.9%	 	Feeding Trial 1 RC	Algae RC

06/05/2014 08:40:36	new sample	BR	0	1.0	       0.00e+000	  	  	  0.0	Feeding Trial 1 RC dead	Algae RC
06/05/2014 08:40:36	new sample	FL	22	1.0	       2.50e+005	  	  	  8.9	Feeding Trial 1 RC dead	Algae RC
06/05/2014 08:40:36	new sample	BR-FL	-22	1.0	      -2.50e+005	BR-FL/BR	  0.0%	 	Feeding Trial 1 RC dead	Algae RC

06/05/2014 08:42:51	new sample	BR	0	1.0	       0.00e+000	  	  	  0.0	Feeding Trial 1 RC_low conc	Algae RC
06/05/2014 08:42:51	new sample	FL	0	1.0	       0.00e+000	  	  	  0.0	Feeding Trial 1 RC_low conc	Algae RC
06/05/2014 08:42:51	new sample	BR-FL	0	1.0	       0.00e+000	BR-FL/BR	  0.0%	 	Feeding Trial 1 RC_low conc	Algae RC

06/05/2014 09:25:30	new sample	BR	26	1.0	       2.89e+005	  	  	  6.2	Feeding Trial 1 RC_low conc	Algae RC
06/05/2014 09:25:30	new sample	FL	78	1.0	       8.56e+005	  	  	  4.6	Feeding Trial 1 RC_low conc	Algae RC
06/05/2014 09:25:30	new sample	BR-FL	-52	1.0	      -5.67e+005	BR-FL/BR	-196.2%	 	Feeding Trial 1 RC_low conc	Algae RC

06/05/2014 09:36:51	new sample	BR	71	1.0	       7.89e+005	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:36:51	new sample	FL	43	1.0	       4.76e+005	  	  	  5.8	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:36:51	new sample	BR-FL	28	1.0	       3.13e+005	BR-FL/BR	 39.7%	 	Feeding Trial 1 SS_low conc	Algae RC

06/05/2014 09:40:19	new sample	BR	65	1.0	       7.19e+005	  	  	  5.6	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:40:19	new sample	FL	52	1.0	       5.70e+005	  	  	  4.4	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:40:19	new sample	BR-FL	13	1.0	       1.49e+005	BR-FL/BR	 20.7%	 	Feeding Trial 1 SS_low conc	Algae RC

06/05/2014 09:42:26	new sample	BR	59	1.0	       6.49e+005	  	  	  5.0	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:42:26	new sample	FL	63	1.0	       6.94e+005	  	  	  5.2	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:42:26	new sample	BR-FL	-4	1.0	      -4.50e+004	BR-FL/BR	 -6.9%	 	Feeding Trial 1 SS_low conc	Algae RC

06/05/2014 09:44:36	new sample	BR	56	1.0	       6.27e+005	  	  	  7.1	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:44:36	new sample	FL	36	1.0	       4.06e+005	  	  	  8.2	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:44:36	new sample	BR-FL	20	1.0	       2.20e+005	BR-FL/BR	 35.2%	 	Feeding Trial 1 SS_low conc	Algae RC

06/05/2014 09:46:28	new sample	BR	83	1.0	       9.18e+005	  	  	  5.6	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:46:28	new sample	FL	79	1.0	       8.64e+005	  	  	  4.3	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:46:28	new sample	BR-FL	4	1.0	       5.35e+004	BR-FL/BR	  5.8%	 	Feeding Trial 1 SS_low conc	Algae RC

06/05/2014 09:48:07	new sample	BR	63	1.0	       6.95e+005	  	  	  5.4	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:48:07	new sample	FL	42	1.0	       4.61e+005	  	  	  4.7	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:48:07	new sample	BR-FL	21	1.0	       2.34e+005	BR-FL/BR	 33.7%	 	Feeding Trial 1 SS_low conc	Algae RC

06/05/2014 09:49:48	new sample	BR	73	1.0	       8.08e+005	  	  	  5.8	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:49:48	new sample	FL	66	1.0	       7.24e+005	  	  	  4.6	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:49:48	new sample	BR-FL	7	1.0	       8.44e+004	BR-FL/BR	 10.4%	 	Feeding Trial 1 SS_low conc	Algae RC

06/05/2014 09:51:29	new sample	BR	72	1.0	       7.97e+005	  	  	  5.7	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:51:29	new sample	FL	55	1.0	       6.06e+005	  	  	  5.1	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:51:29	new sample	BR-FL	17	1.0	       1.91e+005	BR-FL/BR	 24.0%	 	Feeding Trial 1 SS_low conc	Algae RC

06/05/2014 09:53:04	new sample	BR	50	1.0	       5.50e+005	  	  	  5.0	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:53:04	new sample	FL	73	1.0	       8.04e+005	  	  	  5.0	Feeding Trial 1 SS_low conc	Algae RC
06/05/2014 09:53:04	new sample	BR-FL	-23	1.0	      -2.53e+005	BR-FL/BR	-46.0%	 	Feeding Trial 1 SS_low conc	Algae RC

