date time	sample name	count type	cell count	dilution factor	concentration	result type	result	mean diameter	assay type	cell type
06/13/2014 11:56:37	new sample	BR	239	1.0	       2.65e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 11:56:37	new sample	FL	178	1.0	       1.95e+006	  	  	  4.7	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 11:56:37	new sample	BR-FL	61	1.0	       7.00e+005	BR-FL/BR	 26.4%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 11:58:23	new sample	BR	237	1.0	       2.64e+006	  	  	  6.4	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 11:58:23	new sample	FL	173	1.0	       1.90e+006	  	  	  5.0	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 11:58:23	new sample	BR-FL	64	1.0	       7.35e+005	BR-FL/BR	 27.9%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 11:59:53	new sample	BR	211	1.0	       2.33e+006	  	  	  5.6	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 11:59:53	new sample	FL	166	1.0	       1.82e+006	  	  	  4.2	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 11:59:53	new sample	BR-FL	45	1.0	       5.18e+005	BR-FL/BR	 22.2%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 12:01:31	new sample	BR	225	1.0	       2.50e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 12:01:31	new sample	FL	161	1.0	       1.76e+006	  	  	  4.5	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 12:01:31	new sample	BR-FL	64	1.0	       7.33e+005	BR-FL/BR	 29.3%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 12:03:05	new sample	BR	280	1.0	       3.13e+006	  	  	  7.0	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 12:03:05	new sample	FL	195	1.0	       2.14e+006	  	  	  4.8	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 12:03:05	new sample	BR-FL	85	1.0	       9.89e+005	BR-FL/BR	 31.6%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 12:04:35	new sample	BR	261	1.0	       2.92e+006	  	  	  6.9	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 12:04:35	new sample	FL	167	1.0	       1.84e+006	  	  	  4.9	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 12:04:35	new sample	BR-FL	94	1.0	       1.08e+006	BR-FL/BR	 37.1%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 12:06:17	new sample	BR	252	1.0	       2.80e+006	  	  	  6.1	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 12:06:17	new sample	FL	179	1.0	       1.96e+006	  	  	  4.5	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 12:06:17	new sample	BR-FL	73	1.0	       8.35e+005	BR-FL/BR	 29.9%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 12:08:10	new sample	BR	220	1.0	       2.45e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 12:08:10	new sample	FL	163	1.0	       1.79e+006	  	  	  4.7	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 12:08:10	new sample	BR-FL	57	1.0	       6.58e+005	BR-FL/BR	 26.9%	 	Feeding Trial 1 SS_low conc	Algae RC

06/13/2014 12:09:47	new sample	BR	232	1.0	       2.58e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
06/13/2014 12:09:47	new sample	FL	170	1.0	       1.87e+006	  	  	  4.7	Feeding Trial 1 SS_low conc	Algae RC
