date time	sample name	count type	cell count	dilution factor	concentration	result type	result	mean diameter	assay type	cell type
06/06/2014 12:11:36	new sample	BR	98	1.0	       1.09e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:11:36	new sample	FL	67	1.0	       7.42e+005	  	  	  5.8	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:11:36	new sample	BR-FL	31	1.0	       3.47e+005	BR-FL/BR	 31.9%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:14:16	new sample	BR	161	1.0	       1.79e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:14:16	new sample	FL	62	1.0	       6.81e+005	  	  	  4.8	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:14:16	new sample	BR-FL	99	1.0	       1.11e+006	BR-FL/BR	 62.0%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:15:54	new sample	BR	139	1.0	       1.54e+006	  	  	  6.0	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:15:54	new sample	FL	82	1.0	       9.01e+005	  	  	  4.8	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:15:54	new sample	BR-FL	57	1.0	       6.41e+005	BR-FL/BR	 41.6%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:17:34	new sample	BR	124	1.0	       1.38e+006	  	  	  6.4	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:17:34	new sample	FL	91	1.0	       9.95e+005	  	  	  4.2	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:17:34	new sample	BR-FL	33	1.0	       3.84e+005	BR-FL/BR	 27.9%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:19:08	new sample	BR	94	1.0	       1.05e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:19:08	new sample	FL	81	1.0	       8.90e+005	  	  	  4.8	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:19:08	new sample	BR-FL	13	1.0	       1.58e+005	BR-FL/BR	 15.1%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:20:53	new sample	BR	138	1.0	       1.54e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:20:53	new sample	FL	97	1.0	       1.06e+006	  	  	  4.3	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:20:53	new sample	BR-FL	41	1.0	       4.78e+005	BR-FL/BR	 31.0%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:22:21	new sample	BR	106	1.0	       1.18e+006	  	  	  6.9	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:22:21	new sample	FL	68	1.0	       7.50e+005	  	  	  5.3	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:22:21	new sample	BR-FL	38	1.0	       4.34e+005	BR-FL/BR	 36.7%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:24:01	new sample	BR	178	1.0	       1.99e+006	  	  	  6.8	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:24:01	new sample	FL	72	1.0	       7.90e+005	  	  	  4.6	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:24:01	new sample	BR-FL	106	1.0	       1.20e+006	BR-FL/BR	 60.3%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:25:38	new sample	BR	135	1.0	       1.50e+006	  	  	  6.2	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:25:38	new sample	FL	130	1.0	       1.42e+006	  	  	  4.0	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:25:38	new sample	BR-FL	5	1.0	       8.05e+004	BR-FL/BR	  5.4%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:27:19	new sample	BR	139	1.0	       1.55e+006	  	  	  7.0	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:27:19	new sample	FL	103	1.0	       1.13e+006	  	  	  4.6	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:27:19	new sample	BR-FL	36	1.0	       4.25e+005	BR-FL/BR	 27.3%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:28:56	new sample	BR	186	1.0	       2.05e+006	  	  	  5.4	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:28:56	new sample	FL	79	1.0	       8.69e+005	  	  	  4.9	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:28:56	new sample	BR-FL	107	1.0	       1.18e+006	BR-FL/BR	 57.7%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:30:41	new sample	BR	119	1.0	       1.33e+006	  	  	  6.6	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:30:41	new sample	FL	85	1.0	       9.29e+005	  	  	  4.1	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:30:41	new sample	BR-FL	34	1.0	       3.98e+005	BR-FL/BR	 30.0%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:32:22	new sample	BR	166	1.0	       1.85e+006	  	  	  6.5	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:32:22	new sample	FL	86	1.0	       9.44e+005	  	  	  4.6	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:32:22	new sample	BR-FL	80	1.0	       9.05e+005	BR-FL/BR	 48.9%	 	Feeding Trial 1 SS_low conc	Algae RC

06/06/2014 12:39:55	new sample	BR	112	1.0	       1.25e+006	  	  	  6.3	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:39:55	new sample	FL	64	1.0	       7.04e+005	  	  	  4.9	Feeding Trial 1 SS_low conc	Algae RC
06/06/2014 12:39:55	new sample	BR-FL	48	1.0	       5.42e+005	BR-FL/BR	 43.5%	 	Feeding Trial 1 SS_low conc	Algae RC

