id,river,site,species,dry_weight_g,buoyant_weight_g,length_mm,width_mm,height_mm,date,dead,post
C499,Tuckasegee,Tuck 1,A. raveneliana,,10.3,67.5,35,23.4,4/2/13,0,0
C476,Tuckasegee,Tuck 1,A. raveneliana,,10.7,69.8,32.8,22,4/2/13,0,0
C509,Tuckasegee,Tuck 1,A. raveneliana,,6.7,65.7,30.7,21.7,4/2/13,0,0
C522,Tuckasegee,Tuck 1,A. raveneliana,,2.8,48.8,27.3,16.5,4/2/13,0,0
C481,Tuckasegee,Tuck 1,A. raveneliana,,8,69.2,36.8,22,4/2/13,0,0
C475,Tuckasegee,Tuck 1,A. raveneliana,,9.5,63.7,35.8,21.9,4/2/13,0,0
C530,Tuckasegee,Tuck 1,A. raveneliana,,10.3,71.9,37.1,22.7,4/2/13,0,0
C493,Tuckasegee,Tuck 1,A. raveneliana,,5.9,54.9,30.1,17.6,4/2/13,0,0
C467,Tuckasegee,Tuck 1,A. raveneliana,,6.1,61,32,19.2,4/2/13,0,0
C504,Tuckasegee,Tuck 1,A. raveneliana,,2.2,44.5,22.5,11.3,4/2/13,0,0
C484,Tuckasegee,Tuck 1,A. raveneliana,,12.1,74.1,36.8,24,4/2/13,0,0
C501,Tuckasegee,Tuck 1,A. raveneliana,,13.4,73.5,32.1,26,4/2/13,0,0
C519,Tuckasegee,Tuck 2,A. raveneliana,,12,72.2,37.3,27.3,4/2/13,0,0
C507,Tuckasegee,Tuck 2,A. raveneliana,,13,75.1,38.7,26.6,4/2/13,0,0
C496,Tuckasegee,Tuck 2,A. raveneliana,,9.3,78.8,36.4,27,4/2/13,0,0
C472,Tuckasegee,Tuck 2,A. raveneliana,,9.9,71.5,35,25.1,4/2/13,0,0
C500,Tuckasegee,Tuck 2,A. raveneliana,,8.6,79.1,41.4,29.1,4/2/13,0,0
C486,Tuckasegee,Tuck 2,A. raveneliana,,4.5,53.5,27.2,NA,4/2/13,0,0
C513,Tuckasegee,Tuck 2,A. raveneliana,,3.9,56,31.1,18,4/2/13,0,0
C516,Tuckasegee,Tuck 2,A. raveneliana,,23,77,39.1,25.5,4/2/13,0,0
C505,Tuckasegee,Tuck 2,A. raveneliana,,8.8,66.7,32.4,23.6,4/2/13,0,0
C469,Tuckasegee,Tuck 2,A. raveneliana,,12.3,76,39.6,24.1,4/2/13,0,0
C465,Tuckasegee,Tuck 2,A. raveneliana,,10.8,73.5,37.5,24.7,4/2/13,0,0
C518,Tuckasegee,Tuck 2,A. raveneliana,,11.7,70.4,36,26.6,4/2/13,0,0
C506,Tuckasegee,Tuck 3,A. raveneliana,,13.3,75.7,37.5,25,4/2/13,0,0
