site,river,date,DO (mg/L),Turb (NTU),Ph,Temp (C)
LiTN 1,Little Tennessee,4/14/13,10.06,7.73,7.1,12.1
LiTN 1,Little Tennessee,4/28/13,9.99,7.36,7.26,11.7
LiTN 1,Little Tennessee,5/14/13,9.93,7.49,7.12,12.2
LiTN 1,Little Tennessee,5/28/13,8.78,6.52,7.67,16.9
LiTN 1,Little Tennessee,6/11/13,8.63,39.5,7.35,17.5
LiTN 1,Little Tennessee,6/25/13,7.79,13.1,7.61,20.6
LiTN 1,Little Tennessee,7/14/13,8,17.8,7.47,17.7
LiTN 1,Little Tennessee,7/31/13,8.15,7.61,7.45,19.4
LiTN 1,Little Tennessee,8/7/13,7.3,8.9,NA,21
LiTN 1,Little Tennessee,8/19/13,8.13,8.54,NA,18.9
LiTN 1,Little Tennessee,9/3/13,NA,8.21,NA,NA
LiTN 1,Little Tennessee,9/19/13,7.32,7.85,6.7,18.5
LiTN 1,Little Tennessee,10/2/13,8.01,6.28,7.51,17
LiTN 1,Little Tennessee,10/15/13,7.56,6.03,6.93,16.5
LiTN 1,Little Tennessee,10/29/13,9.2,3.38,6.92,11.5
LiTN 1,Little Tennessee,11/12/13,10.57,0.65,6.94,9
LiTN 1,Little Tennessee,12/1/13,10.28,0.21,6.72,5.7
LiTN 1,Little Tennessee,12/17/13,9.89,3.31,6.25,5.6
LiTN 1,Little Tennessee,1/14/14,NA,2.07,6.6,NA
LiTN 1,Little Tennessee,2/4/14,9.19,3.07,6.68,7.8
LiTN 1,Little Tennessee,2/18/14,9.7,0.29,NA,6.7
LiTN 1,Little Tennessee,3/11/14,8.55,3.65,NA,10.8
LiTN 1,Little Tennessee,3/26/14,9.4,0.48,7.45,7.3
LiTN 2,Little Tennessee,4/14/13,10.45,11.3,7.38,13.1
LiTN 2,Little Tennessee,4/28/13,10,24.7,7.27,12
LiTN 2,Little Tennessee,5/14/13,10.35,6.75,7.56,13.3
LiTN 2,Little Tennessee,5/28/13,10.19,6.74,7.82,16.8
LiTN 2,Little Tennessee,6/11/13,8.08,75.3,7.32,17.8
LiTN 2,Little Tennessee,6/25/13,8.59,7.18,7.52,20
LiTN 2,Little Tennessee,7/14/13,8.62,17,7.32,17
LiTN 2,Little Tennessee,7/31/13,8.07,8.7,7.5,19.3
LiTN 2,Little Tennessee,8/7/13,7.87,15.5,NA,20.8
LiTN 2,Little Tennessee,8/19/13,8.32,24.3,NA,19
LiTN 2,Little Tennessee,9/3/13,NA,18.5,NA,NA
LiTN 2,Little Tennessee,9/19/13,7.93,5.72,7.03,19.3
LiTN 2,Little Tennessee,10/2/13,7.71,5.31,7.34,17.7
